"MLS Number","Type","Air Conditioning","Apartment YN","List Price","Patio","% Interests In Common Elmts","School Elementary","School High","School Junior","School Middle","Photo Count","Pool Type","Pools Num","Property Type","Prop Type","Rear Yard Vehicle Access YN","Roof Type","Gas Type","Green Building Cert Attached YN","Heating","Lot Size","Navigable YN","Original List Price","Out Building","Approx Living Area","Acres#","Appliance Included","Bounding Streets","Car Storage","Condition","Energy Efficient Features","Exterior","Exterior Features","Fireplace","Foundation","LP/SqFt","Age Desc 1","Cond","Approx Total SqFt","Beds Total","Baths Full","Baths Half","Age","DOM","Car Stor","Sold Price","Sold Date","SP$/SQFT"
"CN152293","SGL","Window Unit","","$28,000","","","","","","","3","","","Residential","RES","","Asphalt","","","","48 x 124","","","","1,104","0.14","","","","","","Vinyl Siding","","","","$25.36","","","1,129","3","1","","","61","","$27,000","09/16/2019","$24.46  "
"CN152362","SGL","Central","","$269,900","Covered","","","","","","18","","","Residential","RES","","Shingle","","","Central","100 x 150","","","","2,175","0.41","CookTop, Dishwasher, Microwave, Range/Oven","","Two, Attached, Garage","","","","Fence","Gas, Yes","Slab","$124.09","","","3,049","3","2","","","90","2,AT,GR","$257,500","09/20/2019","$118.39  "
"CN152361","SGL","Central","","$129,500","Yes","","","","","","14","","","Residential","RES","","Asphalt","","","Central, Gas","90x115","","","","1,308","0.30","CookTop, Dishwasher, Microwave, Range/Oven","","","","Insulation, Windows","Vinyl Siding","","","Raised","$99.01","","","1,350","3","2","","","269","","$126,500","03/02/2020","$96.71  "
"CN152341","CND","Central","","$118,000","Covered","","","","","","12","Community","","Residential","RES","","Asphalt","","","Central","13'x24'x26'x21'x45'x39'","","","","1,148","0.02","Dishwasher, Microwave, Refrigerator, Range/Oven","","","","","","","","Slab","$102.79","","","1,200","2","2","","","58","","$103,450","08/26/2019","$90.11  "
"CN152300","SGL","Central","","$260,000","Covered","","","","","","18","","","Residential","RES","","Shingle","","","Central","104.25x162.95x152.56x168.37","","","Shed, Workshop","2,798","0.75","CookTop, Double Oven, Dishwasher, Microwave, Refrigerator, Range/Oven","","Two, Attached, Carport, Driveway Only","","","","Fence","Wood, Yes","Slab","$92.92","","","3,666","4","2","1","","164","2,AT,CP,DR","$250,000","12/04/2019","$89.35  "
"CN152371","SGL","Central","","$149,900","","","","","","","9","","","Residential","RES","","Shingle","","","Central","84x120x84x121 +/-","","","Shed","1,160","0.27","CookTop, Dishwasher, Refrigerator, Range/Oven","","Attached, Driveway Only, Garage","","","","","","Slab","$129.22","","","1,500","3","1","1","","27","AT,DR,GR","$128,500","11/22/2019","$110.78  "
"CN152375","SGL","Central","","$165,500","Covered","","","","","","7","","","Residential","RES","","Asphalt","","","Central","91.35x130x93x123","","","","2,500","0.31","CookTop, Double Oven, Dishwasher, Microwave","","Two, Driveway Only, Garage","","","","Fence","Wood, Yes","Slab","$66.20","","","2,900","4","3","","","37","2,DR,GR","$138,000","08/30/2019","$55.20  "
"CN152382","SGL","Central","","$218,000","","","","","","","17","","","Residential","RES","","Asphalt","","","Central","75x156x75x156","","","","2,129","0.27","CookTop, Dishwasher, Microwave, Range/Oven","","One, Two, Carport, Garage","","","Frame, Vinyl Siding","","","Raised","$102.40","","","2,331","3","3","1","","69","1,2,CP,GR","$218,000","09/25/2019","$102.40  "
"CN152340","SGL","Central","","$454,000","Covered","","","","","","20","","","Residential","RES","","Shingle","","","Central, Gas","48.5x372x156.30x418.0","","","Shed, Workshop","3,763","1.33","","","Two, Garage","","","","Bayou, Fence","Yes","Slab","$120.65","","","4,847","4","3","1","","626","2,GR","$422,409","03/24/2021","$112.25  "
"CN152335","TNH","Central","","$299,900","Covered","","","","","","15","","","Residential","RES","","Asphalt, Shingle","","","Central","44X77","","","","2,050","0.08","CookTop, Disposal, Dishwasher, Microwave, Range/Oven","","Two, Carport, Driveway Only, Garage","","Insulation, Windows","","Fence, Porch, Sprinkler System","Gas, Yes","Slab","$146.29","","","2,830","2","2","","","62","2,CP,DR,GR","$285,000","09/06/2019","$139.02  "
"CN152405","SGL","Central","","$135,000","","","","","","","18","","","Residential","RES","","Asbestos","","","Central, Gas","152.5x50","","","Shed","1,497","0.18","CookTop, Dishwasher, Range/Oven","","One, Attached, Carport, Driveway Only","","","Frame","Fence, Porch","Wood, Yes","Raised","$90.18","","","1,550","2","1","","","171","1,AT,CP,DR","$132,000","12/20/2019","$88.18  "
"CN152315","SGL","Central","","$699,000","Covered, Yes","","","","","","24","","","Residential","RES","","Shingle","","","Central, Gas","74.19+40x165x139x151.15","","","","4,000","0.46","CookTop, Double Oven, Disposal, Dishwasher, Microwave, Refrigerator","","Three or More, Attached, Carport, Driveway Only","","Insulation, Windows","Stucco","Fence, Porch, Sprinkler System","Gas, Wood, Yes","Slab","$174.75","","","4,600","4","3","1","","599","3PLUS,AT,CP,DR","$685,000","03/12/2021","$171.25  "
"CN152579","SGL","Central","","$134,000","Covered","","","","","","19","","","Residential","RES","","Asphalt","","","Central","69 x 145","","","Shed","1,581","0.27","Range/Oven","","Attached, Carport, Driveway Only","","","","Fence, Porch","","Slab","$84.76","","","2,041","3","1","1","","26","AT,CP,DR","$130,000","08/23/2019","$82.23  "
"CN152577","SGL","Central","","$249,000","Covered","","","","","","17","","","Residential","RES","","Asphalt","","","Central","75 X 130","","","Shed","2,042","0.22","CookTop, Disposal, Dishwasher, Microwave, Range/Oven","","Two, Attached, Driveway Only, Garage","","","Stucco","Fence","Gas, Yes","Slab","$121.94","","","2,735","3","2","1","","167","2,AT,DR,GR","$241,000","01/30/2020","$118.02  "
