"mls_number"	"property_type"	"air_conditioning"	"appartment_bi"	"patio_bi"	"school_high"	"school_junior"	"school_middle"	"school_general"	"photo_count"	"pool_bi"	"rear_yard_access_bi"	"roof_type"	"roof_type_shingle_bi"	"gas_type"	"out_building_livable_bi"	"out_building_not_livable_bi"	"living_area"	"land_acres"	"appliances_included_bi"	"garage_bi"	"condition"	"energy_efficient_bi"	"exterior_type"	"exterior_features"	"fire_place_bi"	"foundation_type"	"total_area"	"beds_total"	"bath_full"	"bath_half"	"age"	"days_on_market"	"sold_price"	"sold_date"	"sewer_type"	"spa_location"	"stories"	"property_style"	"city_limit_bi"	"subdivision_bi"	"tennis_court_bi"	"termite_contract"	"water_type"	"waterfront_bi"	"post_corona_bi"	"corona_crisis"
"CN163723"	"SGL"	"central"	0	1	0	0	0	0	27	0	0	"shingle"	1	"Natural"	0	0	1862	0.24	1	1	"Other"	1	"other"	"fence"	0	"slab"	2250	3	2	0	34	6	260000	44530	"city"	"None"	1	"Not Specific"	1	1	0	"Unknown"	"Public"	0	1	"post"
"CN163712"	"CND"	"central"	0	1	0	0	0	0	13	1	0	"other"	0	"Natural"	0	0	1148	0.02	1	0	"Other"	0	"other"	"none"	0	"slab"	1148	2	2	0	32	9	119000	44536	"city"	"None"	2	"Not Specific"	1	1	0	"Unknown"	"Public"	0	1	"post"
"CN163710"	"SGL"	"central"	0	0	1	0	1	1	23	0	0	"shingle"	1	"Natural"	0	0	2503	0.66	1	1	"Other"	1	"vinyl"	"fence"	1	"slab"	4000	3	2	1	33	8	337500	44545	"city"	"None"	1	"Not Specific"	1	1	0	"Unknown"	"Public"	0	1	"post"
"CN163708"	"SGL"	"central"	0	0	0	0	0	0	14	0	0	"shingle"	1	"Natural"	0	0	986	1.08	1	1	"Other"	1	"other"	"fence"	1	"slab"	1286	1	1	0	32	2	130000	44530	"septic"	"None"	1	"Not Specific"	1	1	0	"Unknown"	"Public"	0	1	"post"
"CN163706"	"SGL"	"central"	0	0	1	0	0	1	12	0	0	"shingle"	1	"Natural"	0	0	2557	0.22	0	1	"Other"	0	"other"	"none"	1	"other"	3429	3	2	0	36	3	225000	44540	"city"	"None"	1	"Not Specific"	1	1	0	"Unknown"	"Public"	0	1	"post"
"CN163697"	"SGL"	"central"	0	0	0	0	0	0	16	0	0	"other"	0	"Natural"	0	0	1294	0.67	1	0	"Other"	0	"other"	"none"	0	"slab"	1620	2	2	0	30	2	220000	44530	"septic"	"None"	1	"Not Specific"	1	1	0	"Unknown"	"Public"	1	1	"post"
"CN163694"	"SGL"	"central"	0	0	0	0	0	0	17	0	0	"other"	0	"Natural"	0	0	1388	0.45	1	1	"Other"	0	"vinyl"	"fence"	0	"raised"	1450	3	2	0	35	4	154900	44537	"septic"	"None"	1	"Not Specific"	1	1	0	"Unknown"	"Public"	0	1	"post"
"CN163692"	"SGL"	"central"	0	1	0	0	0	0	21	0	0	"shingle"	1	"Natural"	0	1	2650	0.36	1	0	"Other"	1	"metal"	"fence"	1	"raised"	3200	4	2	1	31	2	248000	44540	"city"	"None"	1.5	"Not Specific"	1	1	0	"Unknown"	"Public"	0	1	"post"
"CN163677"	"SGL"	"central"	0	1	0	0	0	0	19	0	0	"shingle"	1	"Natural"	0	1	1983	0.49	1	1	"Other"	0	"brick"	"fence"	1	"slab"	2658	4	2	0	35	1	310000	44533	"city"	"None"	1	"Not Specific"	1	1	0	"Unknown"	"Public"	0	1	"post"
"CN163674"	"SGL"	"central"	0	0	0	0	0	0	18	0	0	"other"	0	"Natural"	0	0	1642	0.3	1	1	"Other"	1	"vinyl"	"fence"	1	"other"	1914	3	2	0	36	6	2e+05	44522	"city"	"None"	1	"Not Specific"	1	1	0	"Unknown"	"Public"	0	1	"post"
"CN163673"	"SGL"	"not_central"	0	0	0	0	0	0	12	0	0	"other"	0	"Natural"	0	0	942	0.21	0	0	"Other"	0	"vinyl"	"none"	0	"other"	942	3	1	0	32	4	84900	44526	"city"	"None"	1	"Not Specific"	1	1	0	"Unknown"	"Public"	0	1	"post"
